City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
269,Kasongo-Lunda,-6.4667,16.8167,70.66,80,82,0.45,CD,light rain
270,The Valley,18.217,-63.0578,83.82,83,20,13.8,AI,few clouds
271,Envira,-7.3,-70.2167,86.36,61,37,1.99,BR,scattered clouds
272,Leningradskiy,69.3833,178.4167,6.98,80,44,6.31,RU,scattered clouds
273,Kununurra,-15.7667,128.7333,82.38,39,94,10.36,AU,overcast clouds
274,Paamiut,61.994,-49.6678,34.47,88,100,1.95,GL,overcast clouds
275,Ternate,0.8,127.4,81.97,75,66,3.87,ID,broken clouds
276,Xunchang,28.4543,104.715,51.8,88,100,4.21,CN,overcast clouds
277,Monrovia,6.3005,-10.7969,81.77,79,100,6.69,LR,overcast clouds
278,Bacalar,18.6667,-88.3833,90.34,49,65,6.6,MX,broken clouds
279,Los Llanos De Aridane,28.6585,-17.9182,68.13,79,0,14.97,ES,clear sky
280,Tasiilaq,65.6145,-37.6368,28.08,59,87,11.36,GL,overcast clouds
281,Alice Springs,-23.7,133.8833,56.75,67,100,0.0,AU,overcast clouds
282,Grand Gaube,-20.0064,57.6608,75.6,81,9,1.99,MU,clear sky
283,Phangnga,8.4509,98.5298,78.84,94,100,2.77,TH,overcast clouds
284,Hofn,64.2539,-15.2082,38.91,76,100,10.51,IS,overcast clouds
285,Whitianga,-36.8333,175.7,60.48,78,77,4.52,NZ,broken clouds
286,Mont-Dore,-22.2833,166.5833,77.0,99,96,7.61,NC,overcast clouds
287,Jurm,36.8648,70.8342,69.4,32,30,3.67,AF,scattered clouds
288,Semenivka,52.1783,32.5818,45.1,58,50,5.82,UA,scattered clouds
289,Nizhniy Kuranakh,58.8353,125.4869,34.7,94,100,8.7,RU,snow
290,Madang,-5.2246,145.7966,75.56,90,22,3.83,PG,few clouds
291,Vostok,46.4856,135.8833,28.22,89,94,3.06,RU,overcast clouds
292,Cabrera,19.6426,-69.9049,80.53,73,100,13.04,DO,overcast clouds
293,Panacan,9.2463,118.4082,79.74,82,97,3.65,PH,overcast clouds
294,Teberda,43.4456,41.7448,47.37,99,100,1.59,RU,overcast clouds
295,Ahuimanu,21.4447,-157.8378,76.71,77,75,16.11,US,light rain
296,Nueva Gorgona,8.55,-79.8667,86.0,78,74,3.09,PA,broken clouds
297,Roanoke Rapids,36.4615,-77.6542,82.2,65,0,10.36,US,clear sky
298,Satuk,41.2263,32.3836,50.58,93,97,0.58,TR,overcast clouds
299,Buala,-8.145,159.5921,79.34,83,100,5.41,SB,moderate rain
300,Malanje,-9.5402,16.341,64.42,70,27,2.39,AO,scattered clouds
301,Riyadh,24.6877,46.7219,87.94,13,2,9.06,SA,clear sky
302,Meridian,43.6121,-116.3915,60.15,63,20,16.11,US,few clouds
303,Cabedelo,-6.9811,-34.8339,84.87,77,27,12.95,BR,scattered clouds
304,Miles City,46.4083,-105.8406,55.11,37,100,13.04,US,overcast clouds
305,Alekseyevsk,57.8406,108.3492,30.7,96,87,4.47,RU,overcast clouds
306,Urumqi,43.801,87.6005,72.55,12,0,26.84,CN,clear sky
307,Batemans Bay,-35.7167,150.1833,54.1,76,9,4.05,AU,clear sky
308,Saiha,22.4833,92.9667,66.43,92,9,2.28,IN,clear sky
309,Yershov,51.3513,48.2766,41.27,55,0,8.48,RU,clear sky
310,Anadyr,64.75,177.4833,14.5,92,0,8.95,RU,clear sky
311,Dalvik,65.9702,-18.5286,31.93,78,100,11.1,IS,overcast clouds
312,Kamalganj,27.2667,79.65,89.67,26,2,9.84,IN,clear sky
313,Saint Stephen,50.3333,-4.9,50.27,87,75,5.75,GB,broken clouds
314,Tautira,-17.7333,-149.15,79.84,74,48,9.04,PF,scattered clouds
315,Zyryanovsk,49.7386,84.2719,55.42,49,100,3.62,KZ,overcast clouds
